mackay_no,plate,n_signs,ends_jar,has_fish,has_arrow,numeral_group,confidence,note
41,LXXXIII,6,no,no,no,yes,low,worn; strokes and grid sign
43,LXXXIII,6,no,no,no,yes,high,strokes oval oval leaf leaf
46,LXXXIII,7,likely,no,no,no,high,U at left; forked stem A-shape and diamond
47,LXXXIII,4,no,no,unclear,no,high,A-shape X X and stroke
48,LXXXIII,7,likely,no,no,no,medium,U at left; X signs and leaf
49,LXXXIII,7,no,no,no,no,medium,ovals and crescents
50,LXXXIII,6,likely,no,no,,high,U at left; X X U and grid sign
51,LXXXIII,5,likely,no,no,,high,U U stroke and diamond
52,LXXXIII,7,no,no,no,,medium,X X ovals and leaf
642,XCIX,6,no,no,no,yes,medium,forked stem strokes and leaf
643,XCIX,6,likely,likely,no,no,high,U at left; U fish-like and A-shapes
644,XCIX,3,no,no,no,yes,low,fragment; bird and animal
645,XCIX,5,no,no,no,no,medium,X X and strokes; fragment
646,XCIX,6,likely,no,no,no,medium,U at left; A-shape and strokes
647,XCIX,7,no,no,no,no,medium,strokes X X and diamond
648,XCIX,5,no,no,no,yes,high,grid sign forked stem strokes and heart-shape
649,XCIX,0,no,no,no,no,high,four concentric circles; no inscription
650,XCIX,6,likely,no,no,no,medium,U at left; X and strokes
651,XCIX,5,no,unclear,no,yes,high,X-in-oval circled oval spoon-like and circled cross
652,XCIX,4,no,no,no,no,low,worn; diamond and X
653,XCIX,6,likely,no,no,no,medium,U at left; U X and oval
654,XCIX,11,likely,no,no,yes,high,U at left; long text with diamonds and X signs
655,XCIX,7,no,no,no,yes,high,grid sign strokes U A-shape and oval
656,XCIX,4,no,no,no,no,medium,stroke diamond and stroke
657,XCIX,5,no,no,no,yes,medium,forked stem strokes and oval
658,XCIX,3,no,no,no,no,low,angular signs only; worn
659,XCIX,5,no,no,no,yes,low,fragment; strokes
660,XCIX,6,no,no,no,yes,medium,grid sign strokes and oval
661,XCIX,5,no,no,no,no,medium,animals with diamond and grid sign at right
662,XCIX,4,no,no,no,no,low,worn strokes
663,XCIX,5,likely,no,no,no,medium,U at left; strokes
664,XCIX,5,likely,no,no,no,medium,U at left; U and strokes
666,XCIX,6,likely,no,no,no,medium,U at left; X and strokes
670,XCIX,4,no,no,no,no,low,small worn seal; few signs
671,XCIX,5,likely,no,no,no,medium,U at left; strokes
672,XCIX,3,no,no,no,no,low,worn; U shapes only
674,XCIX,7,no,no,no,no,medium,ovals strokes and leaf
677,XCIX,5,no,no,no,no,medium,strokes diamond and large U
678,XCIX,6,no,no,no,no,medium,ovals and strokes
679,XCIX,7,likely,no,no,yes,high,U at left; grid comb diamond and strokes
680,XCIX,6,likely,no,no,yes,high,U at left; A-shape and leaf
681,XCIX,6,no,no,no,yes,medium,strokes and grid-like signs
682,XCIX,5,no,no,no,no,high,ovals and leaf signs only
684,XCIX,6,no,no,no,yes,low,worn; small seal
686,XCIX,4,no,no,no,no,low,fragment; signs above animal
53,LXXXIV,4,no,no,no,no,low,fragment; strokes and X
55,LXXXIV,4,no,no,no,no,low,worn; grid sign and strokes
56,LXXXIV,6,likely,no,no,no,medium,U at left; strokes and leaf
57,LXXXIV,5,no,no,no,no,medium,X strokes and diamond
58,LXXXIV,4,no,no,no,no,medium,strokes over a small animal
59,LXXXIV,3,no,no,no,no,low,few signs; worn
60,LXXXIV,5,no,no,no,no,medium,grid X and heart-shape
61,LXXXIV,5,no,no,no,yes,medium,comb sign strokes and U
62,LXXXIV,2,no,no,no,no,low,fragment
63,LXXXIV,7,no,no,no,yes,medium,strokes and A-shape at right
64,LXXXIV,6,likely,no,no,no,medium,U at left; X U X
66,LXXXIV,6,likely,no,yes,no,medium,U at left; A-shape and strokes
67,LXXXIV,6,no,no,no,no,medium,strokes ovals and circled cross
70,LXXXIV,5,likely,no,no,no,medium,U at left; strokes
71,LXXXIV,2,no,no,no,no,low,oval and X only
72,LXXXIV,5,no,no,no,yes,medium,grid signs and strokes
73,LXXXIV,5,no,no,no,yes,low,worn; grid signs and X
74,LXXXIV,6,no,no,no,no,medium,A-shape strokes X and oval
76,LXXXIV,5,no,no,no,no,medium,ovals and strokes
77,LXXXIV,6,no,no,no,yes,medium,strokes X X and U
78,LXXXIV,0,no,no,no,no,medium,circular seal; design only
79,LXXXIV,7,likely,no,no,yes,high,U at left; strokes X and diamond
80,LXXXIV,5,no,no,no,yes,high,forked stem strokes diamond and oval
81,LXXXIV,6,no,likely,no,no,medium,fish-like signs and ovals
82,LXXXIV,7,no,no,no,yes,medium,grid ovals strokes and X
83,LXXXIV,7,likely,no,no,no,medium,U at left; X X and diamond
84,LXXXIV,7,no,no,no,yes,high,X X ovals U U and strokes
85,LXXXIV,5,likely,no,no,no,medium,U at left; X and A-shape
86,LXXXIV,6,likely,no,no,no,medium,U at left; ovals and diamond
87,LXXXIV,6,no,no,no,no,high,forked stem diamond strokes and X
88,LXXXIV,6,no,no,no,yes,medium,grid sign X X and strokes
93,LXXXIV,3,no,no,no,no,low,worn; ovals
94,LXXXIV,5,likely,no,no,yes,medium,U at left; diamond and grid sign
96,LXXXIV,4,no,no,no,yes,medium,circled sign and strokes
97,LXXXIV,5,likely,no,no,yes,high,U at left; strokes grid and A-shape
99,LXXXIV,6,no,no,no,no,medium,strokes A-shape and ovals
101,LXXXIV,4,no,no,no,no,high,circled cross forked stem and X
102,LXXXIV,5,likely,no,no,no,medium,U at left; strokes and diamond
103,LXXXIV,6,no,no,no,no,medium,X strokes and oval
593,XCVIII,7,likely,no,no,no,medium,U at left; X ovals and strokes
594,XCVIII,6,likely,no,no,no,medium,U at left; A-shape and strokes
595,XCVIII,5,no,no,no,no,medium,A-shape oval strokes and X
598,XCVIII,7,likely,no,no,yes,medium,U at left; strokes below
599,XCVIII,7,no,no,no,no,high,X A-shape oval U U and grid sign
600,XCVIII,3,no,no,no,no,medium,U and strokes only
601,XCVIII,6,no,no,no,no,medium,strokes ovals and X
602,XCVIII,5,likely,no,no,no,medium,U at left; strokes
603,XCVIII,5,no,no,no,yes,high,grid comb A-shape and X X
604,XCVIII,0,no,no,no,no,medium,round seal; tree design
605,XCVIII,5,likely,no,no,no,medium,U at left; X and A-shape
606,XCVIII,3,likely,no,no,no,medium,U signs only; worn
607,XCVIII,4,no,no,no,no,low,strokes and large U
608,XCVIII,5,no,no,no,yes,medium,strokes and X
610,XCVIII,4,no,no,no,yes,medium,strokes and large U
611,XCVIII,6,no,no,no,no,medium,ovals X X and large U
612,XCVIII,5,no,no,no,yes,medium,strokes and U
613,XCVIII,5,likely,no,no,no,medium,U at left; strokes
614,XCVIII,8,no,no,no,no,medium,X ovals and U signs
615,XCVIII,5,no,no,no,no,medium,oval strokes and large U
616,XCVIII,4,no,no,no,no,medium,strokes and forked stems
617,XCVIII,7,no,no,no,yes,medium,grid strokes X and ovals
618,XCVIII,5,likely,no,no,no,medium,U at left; X and diamond
619,XCVIII,0,no,no,no,no,low,worn surface; no clear signs
620,XCVIII,5,likely,no,no,no,medium,U at left; ovals and forked stem
622,XCVIII,4,no,no,no,no,medium,A-shapes and stroke
625,XCVIII,6,no,no,no,no,medium,ovals X and leaf
626,XCVIII,5,no,no,no,yes,medium,strokes and large U
627,XCVIII,4,no,no,no,no,low,worn; X and strokes
632,XCVIII,6,likely,no,no,no,medium,U at left; X and ovals
633,XCVIII,6,no,no,no,yes,medium,strokes ovals and diamond
635,XCVIII,6,no,no,no,no,medium,ovals strokes and leaf
636,XCVIII,5,no,no,no,no,medium,strokes and ovals
637,XCVIII,4,no,no,no,no,low,angular signs; worn
638,XCVIII,4,no,no,no,no,low,worn; strokes
639,XCVIII,5,no,no,no,no,medium,ovals stroke and forked stem
640,XCVIII,3,likely,no,no,no,medium,U signs only
641,XCVIII,2,no,no,no,no,low,figured seal; few signs
104,LXXXV,4,no,no,no,no,low,worn; strokes and X
105,LXXXV,5,no,no,no,no,medium,X U and strokes
106,LXXXV,6,no,no,no,yes,medium,forked stem strokes and U signs
107,LXXXV,7,no,no,no,no,medium,X ovals and strokes
108,LXXXV,5,no,no,no,no,medium,ovals and large U
109,LXXXV,8,likely,no,no,yes,medium,U at left; X X and strokes
110,LXXXV,5,no,no,no,no,medium,A-shape ovals and X
111,LXXXV,7,no,no,no,no,medium,X ovals and strokes
113,LXXXV,6,no,no,no,yes,medium,ovals and strokes
114,LXXXV,5,no,no,no,no,medium,A-shape strokes and ovals
116,LXXXV,3,no,no,no,no,low,fragment; X and stroke
117,LXXXV,6,likely,no,no,yes,medium,U at left; strokes and X
118,LXXXV,5,no,no,no,no,low,worn; forked stem and ovals
119,LXXXV,7,no,no,no,no,high,circled cross ovals U and A-shape
121,LXXXV,6,likely,no,no,no,medium,U at left; X and strokes
122,LXXXV,6,likely,no,no,yes,medium,U at left; strokes and X
123,LXXXV,7,no,no,no,yes,high,A-shape strokes U X X and leaf
124,LXXXV,5,no,no,no,no,medium,ovals and strokes
125,LXXXV,6,likely,no,no,no,medium,U U at left; comb sign
126,LXXXV,3,no,no,no,no,low,fragment
127,LXXXV,4,no,no,no,yes,high,forked stem and two groups of strokes; elephant
129,LXXXV,8,no,no,no,yes,medium,strokes ovals and X
130,LXXXV,6,no,no,yes,no,medium,"arrow-like sign, A-shape and ovals"
131,LXXXV,6,likely,no,no,no,medium,U at left; U U and X X
132,LXXXV,5,no,no,no,no,medium,A-shapes oval and crescent
133,LXXXV,3,no,no,no,no,low,X and animal only
134,LXXXV,6,no,no,no,no,medium,ovals X and strokes
135,LXXXV,2,no,no,no,no,low,worn; few signs
136,LXXXV,4,no,no,no,no,medium,A-shape and diamond
139,LXXXV,5,no,no,no,yes,medium,comb sign ovals and X
141,LXXXV,6,likely,no,no,no,medium,U at left; X ovals
142,LXXXV,4,no,no,no,no,medium,comb X and forked stem
143,LXXXV,5,no,no,no,no,low,worn; ovals
145,LXXXV,6,no,no,no,no,medium,X ovals and strokes
146,LXXXV,6,no,no,no,no,medium,X X ovals and U
147,LXXXV,5,no,no,no,no,medium,ovals circled cross and leaf
150,LXXXV,4,no,no,no,no,low,worn; strokes
151,LXXXV,2,no,no,no,no,medium,lattice sign only
152,LXXXV,5,no,no,no,no,low,worn; strokes and X
154,LXXXV,4,no,no,no,yes,medium,stroke and grid of strokes
155,LXXXV,5,no,no,no,no,low,fragment; small signs
432,XCV,7,no,no,no,yes,medium,X ovals and strokes
433,XCV,6,no,no,no,yes,medium,grid sign strokes and X
434,XCV,6,no,no,no,yes,medium,strokes and leaf signs
435,XCV,5,no,no,yes,no,high,"two arrow-like signs, X and diamond"
436,XCV,8,no,no,yes,no,high,"arrow-like signs, X, ovals and A-shape"
437,XCV,4,no,no,no,yes,high,strokes leaf leaf and strokes
438,XCV,5,no,no,no,no,medium,forked stems and leaf
439,XCV,6,no,no,no,yes,medium,strokes X and diamond
440,XCV,5,no,no,no,no,medium,A-shape strokes and U
441,XCV,4,no,no,no,no,medium,X and A-shapes
442,XCV,4,no,no,no,no,medium,forked stems and oval
443,XCV,5,no,no,no,no,medium,forked stem circled sign U and stroke
444,XCV,4,no,no,no,no,low,worn; X and strokes
445,XCV,5,no,no,no,no,medium,A-shapes circled cross and oval
448,XCV,4,no,no,no,no,low,worn; angular signs
449,XCV,6,no,no,no,no,medium,X strokes and circled cross
450,XCV,5,likely,no,no,no,medium,U at left; ovals and crescent
451,XCV,6,likely,no,no,no,medium,U at left; X and A-shape
452,XCV,4,no,no,no,no,low,worn; angular signs
453,XCV,4,no,no,no,no,low,fragment; X and strokes
454,XCV,0,no,no,no,no,medium,three figures; no inscription visible
455,XCV,8,no,no,no,no,medium,X ovals and strokes
457,XCV,7,likely,no,no,yes,medium,U at left; strokes and X
459,XCV,3,likely,no,no,no,medium,U U and stroke
460,XCV,4,no,no,no,no,medium,comb sign oval and U
461,XCV,7,no,no,no,yes,high,grid X forked stem ovals and A-shape
462,XCV,5,no,no,no,yes,low,worn; strokes
468,XCV,5,no,no,no,no,medium,circled cross diamond and zigzags
469,XCV,5,no,no,no,no,medium,X-in-oval A-shape and strokes
470,XCV,6,no,no,no,yes,high,A-shape strokes U and comb sign
471,XCV,4,no,no,no,no,medium,oval U and stroke
473,XCV,6,no,no,no,yes,medium,strokes ovals and U
474,XCV,6,no,no,no,no,medium,oval strokes and X
475,XCV,5,likely,no,no,no,medium,U at left; A-shape and diamond
476,XCV,6,no,no,no,no,medium,X strokes and leaf
479,XCV,2,no,no,no,no,low,figured seal; few signs
480,XCV,5,no,no,no,no,medium,ovals X and strokes
481,XCV,6,no,no,no,no,medium,X ovals and circled sign
483,XCV,3,no,no,no,no,low,narrow seal; X and strokes
484,XCV,4,no,no,no,no,low,worn; X and A-shapes
485,XCV,6,no,no,no,yes,high,A-shape comb strokes and leaf
486,XCV,6,likely,no,no,no,medium,U at left; ovals and strokes
487,XCV,3,no,no,no,no,low,fragment; signs cut off
156,LXXXVI,0,no,no,no,no,high,three circles; no inscription
157,LXXXVI,6,likely,no,no,no,medium,U at left; A-shape and strokes
158,LXXXVI,5,no,no,no,yes,medium,"stroke, group of strokes, oval"
159,LXXXVI,6,no,no,no,no,high,"circled cross, ovals, A-shapes"
160,LXXXVI,6,likely,no,no,no,medium,U at left; ovals
161,LXXXVI,4,no,no,no,no,medium,A-shape and X signs
162,LXXXVI,7,likely,no,no,yes,high,U at left; strokes and circled sign
163,LXXXVI,6,likely,no,no,yes,medium,U at left; strokes and X
164,LXXXVI,5,no,no,no,no,high,"U, leaf, leaf, circled cross"
165,LXXXVI,0,no,no,no,no,high,swastika/maze seal; no inscription
166,LXXXVI,6,likely,no,no,no,medium,U at left; strokes
167,LXXXVI,4,no,no,no,yes,medium,strokes only
168,LXXXVI,5,no,no,no,no,high,"U, X, forked stem, circled cross"
169,LXXXVI,6,no,no,no,no,medium,X signs and ovals; elephant
170,LXXXVI,5,no,no,no,no,high,"grid, oval, A-shape"
171,LXXXVI,5,no,no,no,yes,low,worn; strokes and oval
173,LXXXVI,5,no,no,no,yes,medium,"grid, strokes, oval"
175,LXXXVI,4,no,no,no,yes,medium,A-shape and strokes
176,LXXXVI,5,no,no,no,no,medium,ovals and forked stem
177,LXXXVI,6,no,no,no,no,medium,"A-shape, X, ovals, diamond"
178,LXXXVI,7,no,no,no,no,medium,"ovals, strokes, diamond"
180,LXXXVI,5,no,no,no,yes,medium,"forked stem, strokes, heart-shape"
182,LXXXVI,2,no,no,no,no,low,fragment; grid sign
184,LXXXVI,6,likely,no,no,no,medium,U at left; X and U signs
185,LXXXVI,6,likely,no,no,no,medium,"U at left; oval, X, U"
186,LXXXVI,6,no,no,no,no,high,A-shapes and strokes
189,LXXXVI,5,no,no,no,no,low,fragment; strokes and X
190,LXXXVI,6,no,no,no,yes,medium,"comb sign, X X, ovals"
191,LXXXVI,6,no,no,no,yes,medium,"strokes, ovals, grid"
193,LXXXVI,4,no,no,no,no,medium,"stroke, U, A-shapes"
194,LXXXVI,3,no,no,no,no,low,worn; few signs
195,LXXXVI,4,no,no,no,yes,medium,"X, strokes, grid"
196,LXXXVI,5,no,no,no,no,low,worn; oval and X
197,LXXXVI,8,no,no,no,no,medium,long text; ovals and X signs
198,LXXXVI,6,no,no,no,yes,medium,strokes and X
199,LXXXVI,4,no,no,no,no,medium,X signs and large diamond
200,LXXXVI,4,likely,no,no,yes,medium,U signs and strokes
201,LXXXVI,5,no,no,no,no,medium,"X, A-shape, leaf"
207,LXXXVI,7,no,no,no,no,medium,"X ovals, U, arrow-like sign"
210,LXXXVI,6,no,no,no,yes,medium,"strokes, A-shape, oval"
211,LXXXVI,4,no,no,no,no,low,worn; small signs
212,LXXXVI,4,no,no,no,no,medium,strokes and large diamond
213,LXXXVI,5,likely,no,no,no,high,U signs and strokes
215,LXXXVI,3,no,no,no,yes,medium,forked stem and strokes
216,LXXXVI,5,likely,no,no,no,medium,U at left; strokes
217,LXXXVII,4,no,no,no,no,low,fragment; X and strokes
218,LXXXVII,2,no,no,no,no,low,worn; animal only
219,LXXXVII,6,likely,no,no,no,medium,U at left; ovals and strokes
221,LXXXVII,6,no,no,no,no,high,"U, X, leaf, ovals"
222,LXXXVII,6,likely,no,no,no,medium,U at left; X and strokes
226,LXXXVII,4,no,no,no,no,low,worn; X signs
227,LXXXVII,7,no,no,no,no,high,"forked stem, X X, ovals, leaf"
229,LXXXVII,5,no,no,no,yes,high,"A-shape, fish-like, strokes"
230,LXXXVII,5,no,no,no,no,high,ovals and A-shapes
232,LXXXVII,6,likely,no,no,no,medium,U at left; X and ovals
234,LXXXVII,6,no,no,no,no,medium,leaf signs and U shapes
236,LXXXVII,4,likely,no,no,no,high,"U, oval, forked stem"
237,LXXXVII,7,likely,no,no,no,medium,U at left; forked stem and ovals
239,LXXXVII,6,no,no,no,yes,low,composite plate entry; several small seals
241,LXXXVII,5,no,no,no,yes,high,"two grid signs, X, strokes"
245,LXXXVII,2,no,no,no,no,low,fragment; signs unclear
247,LXXXVII,6,no,no,no,no,medium,"heart-shape, X X, ovals"
248,LXXXVII,4,likely,no,no,no,high,"U, oval, forked stem"
249,LXXXVII,5,likely,no,no,yes,medium,U at left; strokes and oval
250,LXXXVII,5,no,no,no,yes,medium,grid signs and strokes
251,LXXXVII,5,no,no,no,yes,high,"A-shape, strokes, U, leaf"
252,LXXXVII,6,no,no,no,no,medium,X signs and ovals
254,LXXXVII,5,no,no,no,yes,medium,"A-shape, strokes, U"
255,LXXXVII,5,no,no,no,no,high,"A-shape, ovals, leaf"
256,LXXXVII,5,no,no,no,no,medium,"X, A-shape, oval"
257,LXXXVII,6,likely,no,no,yes,medium,"U at left; oval, X, strokes"
258,LXXXVII,5,likely,no,no,no,medium,U at left; forked stem
259,LXXXVII,3,no,no,no,no,low,fragment; signs cut off
260,LXXXVII,4,no,no,no,no,high,"A-shape, U, oval, U"
262,LXXXVII,5,likely,no,no,yes,medium,U at left; grid and leaf
263,LXXXVII,4,no,no,no,no,medium,A-shapes and stroke
267,LXXXVII,5,likely,no,no,yes,medium,U at left; strokes and grid
268,LXXXVII,5,no,no,no,no,medium,"forked stem, X, circled cross"
270,LXXXVII,3,no,no,no,no,medium,oval and leaf
271,LXXXVII,6,no,no,no,no,low,composite entry; small worn signs
334,LXXXIX,6,likely,no,no,no,medium,U at left; grid and X
335,LXXXIX,7,no,no,no,no,medium,"strokes, ovals, circled sign"
337,LXXXIX,6,likely,no,no,no,medium,U signs at left; X and oval
339,LXXXIX,4,no,no,no,yes,high,"X, X-in-oval, grid, strokes"
340,LXXXIX,6,no,no,no,no,medium,X signs and ovals
341,LXXXIX,5,no,no,no,yes,medium,strokes and comb sign
342,LXXXIX,4,no,no,no,no,medium,ovals and A-shape
343,LXXXIX,5,no,no,no,no,medium,ovals and X
344,LXXXIX,6,no,no,no,no,medium,X signs and forked stems
345,LXXXIX,6,no,no,no,yes,high,"grid, strokes, A-shapes, X"
346,LXXXIX,5,no,no,no,yes,high,"grid signs, X, strokes"
347,LXXXIX,5,no,no,no,yes,medium,comb sign and forked stems
348,LXXXIX,6,likely,no,no,no,medium,U at left; ovals
349,LXXXIX,5,no,no,no,no,high,"X, circled cross, ovals"
350,LXXXIX,4,no,no,no,no,medium,"oval, X, crescent"
351,LXXXIX,5,no,no,no,yes,high,"grid signs, A-shape, strokes"
352,LXXXIX,1,no,no,no,no,low,narrow fragment
353,LXXXIX,6,no,no,no,no,medium,U signs and leaf
354,LXXXIX,5,no,no,no,yes,medium,"forked stem, strokes, oval"
355,LXXXIX,6,likely,no,no,yes,medium,U at left; strokes and X
356,LXXXIX,6,likely,no,no,no,medium,U at left; X and leaf
357,LXXXIX,5,no,no,no,yes,medium,"comb sign, strokes, diamond"
